States,1951,1961,1971,1981,1991,2001,2011
Andhra Pradesh,NA,21.19,24.57,35.66,44.08,60.47,67.66
Assam,18.53,32.95,33.94,NA,52.89,63.25,73.18
Bihar,13.49,21.95,23.17,32.32,37.49,47,63.82
Chhattisgarh,9.41,18.14,24.08,32.63,42.91,64.66,71.04
Gujarat,21.82,31.47,36.95,44.92,61.29,69.14,79.31
Haryana,NA,NA,25.71,37.13,55.85,67.91,76.64
Jharkhand,12.93,21.14,23.87,35.03,41.39,53.56,67.63
Karnataka,NA,29.8,36.83,46.21,56.04,66.64,75.6
Kerala,47.18,55.08,69.75,78.85,89.81,90.86,93.91
Madhya Pradesh,13.16,21.41,27.27,38.63,44.67,63.74,70.63
Maharashtra,27.91,35.08,45.77,57.24,64.87,76.88,82.91
Orissa,15.8,21.66,26.18,33.62,49.09,63.08,73.45
Punjab,NA,NA,34.12,43.37,58.51,69.65,76.68
Rajasthan,8.5,18.12,22.57,30.11,38.55,60.41,67.06
Tamil Nadu,NA,36.39,45.4,54.39,62.66,73.45,80.33
Uttar Pradesh,12.02,20.87,23.99,32.65,40.71,56.27,69.72
West Bengal,24.61,34.46,38.86,48.65,57.7,68.64,77.08
ALL INDIA,18.33,28.3,34.45,43.57,52.21,64.84,74.04
